bid_number,detail_url,item_name,quantity,organization,start_date,end_date,estimated_value
GEM/2026/B/7404026,https://bidplus.gem.gov.in/showbidDocument/9177822,Agro Residue Based Biomass Pellets (V2),50,,30-03-2026 9:56 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7415601,https://bidplus.gem.gov.in/showbidDocument/9190832,"BTY 12V 5.4 AH,CPU FAN,BTY 12V 7 AH,SMPS 8 PIN,KEYBOARD AND MOUSE WIRELSS",10,,04-04-2026 8:22 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7415623,https://bidplus.gem.gov.in/showbidDocument/9190868,,4,,04-04-2026 10:19 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7415642,https://bidplus.gem.gov.in/showbidDocument/9190888,,4,,04-04-2026 11:24 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7386561,https://bidplus.gem.gov.in/showbidDocument/9157427,Operation And Maintenance Of Lifts (Elevators) - Complete System,9,,10-04-2026 11:18 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7426433,https://bidplus.gem.gov.in/showbidDocument/9202968,SIX PART MULTIFUNCTIONAL HAEMATOLOGY ANALYZER,1,,10-04-2026 11:43 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7434832,https://bidplus.gem.gov.in/showbidDocument/9212194,Monthly Basis Cab & Taxi Hiring Services - SUV; As per Tender Documents; Local 24*7,4,,10-04-2026 8:15 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7434981,https://bidplus.gem.gov.in/showbidDocument/9212368,PROCUREMENT OF SURFACE ROUGHNESS TESTER AND ITS ACCESSORIES,1,,11-04-2026 9:27 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7385417,https://bidplus.gem.gov.in/showbidDocument/9156094,"Supply of Lamellar Sealing Ring, Part number- 56005, Model- A140H55- HT585341- as per technical spe",22,,01-04-2026 4:06 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7425000,https://bidplus.gem.gov.in/showbidDocument/9201401,Two-Part Garbage Container Mounted on 4 wheeler commercial vehicle,1,,10-04-2026 4:57 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7438851,https://bidplus.gem.gov.in/showbidDocument/9216821,"Interactive Panels with CPU,Line Interactive UPS with AVR (V2),Video Conferencing Camera / Web Came",123,,15-04-2026 11:40 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7405508,https://bidplus.gem.gov.in/showbidDocument/9179450,PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Flexible Conductor (V2,1000,,15-04-2026 10:12 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444500,https://bidplus.gem.gov.in/showbidDocument/9223229,,950,,15-04-2026 8:24 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444493,https://bidplus.gem.gov.in/showbidDocument/9223220,Custom Bid for Services - Housekeeping Services at Raipur LPG Plant,1,,15-04-2026 8:23 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444485,https://bidplus.gem.gov.in/showbidDocument/9223212,supply and fixing of bird proof netting at security gates,1,,15-04-2026 8:18 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444484,https://bidplus.gem.gov.in/showbidDocument/9223210,Manpower Outsourcing Services - Minimum wage - Unskilled; Secondary School; Others,1,,15-04-2026 8:27 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7441305,https://bidplus.gem.gov.in/showbidDocument/9219610,"Blouse White,Boot Knee,Comb Digital Camo,Blouse Light B,Jacket Sleeping",1996,,15-04-2026 8:21 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7438245,https://bidplus.gem.gov.in/showbidDocument/9216154,"BATTERY SECONDARY LEAD ACID 12V 88AH C5,BATTERY SECONDARY LEAD ACID 12V 130AH,BATTERY SECONDARY LEA",804,,15-04-2026 8:27 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444477,https://bidplus.gem.gov.in/showbidDocument/9223202,"Lignocaine HCL Inj 2 percentage 30ml,Inj Pantoprazole 40mg Inj,Inj Ranitidine HCL Amp of 2ml,Inj Me",1747,,15-04-2026 8:12 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444472,https://bidplus.gem.gov.in/showbidDocument/9223196,,50,,15-04-2026 8:12 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444446,https://bidplus.gem.gov.in/showbidDocument/9223164,"Monthly Basis Cab & Taxi Hiring Services - Sedan; 3000 Km x 364 hours; Local 24*7,Monthly Basis Cab",6,,15-04-2026 8:07 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7442416,https://bidplus.gem.gov.in/showbidDocument/9220885,Custom Bid for Services - Level-2 preventive inspection & maintenance of waste gas fan motor of SP-,1,,15-04-2026 8:10 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7440957,https://bidplus.gem.gov.in/showbidDocument/9219215,Customized AMC/CMC for Pre-owned Products - AS PER NIT; AS PER NIT; Comprehensive Maintenance Contr,1,,15-04-2026 8:11 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7437911,https://bidplus.gem.gov.in/showbidDocument/9215770,"D Engrs,Weight Cast,Fly C,Scale Dial,Head Mallet",1042,,15-04-2026 8:14 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444520,https://bidplus.gem.gov.in/showbidDocument/9223250,Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Others,1,,15-04-2026 8:39 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444516,https://bidplus.gem.gov.in/showbidDocument/9223246,Off - Grid Solar Photovoltaic (PV) Power Plant (V2),2,,15-04-2026 8:36 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444498,https://bidplus.gem.gov.in/showbidDocument/9223226,,50,,15-04-2026 8:32 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444491,https://bidplus.gem.gov.in/showbidDocument/9223218,"Monthly Basis Cab and Taxi Hiring Service - Without Fuel - SUV; Mahindra Scorpio; 2024, 2025, 2026;",17,,15-04-2026 8:39 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444528,https://bidplus.gem.gov.in/showbidDocument/9223258,"Ignition Switch,Stopper Cable,Wiper Motor,Wiper Blade,Head Light RH,Cabin Light,Siren Light Assy,Du",9,,15-04-2026 8:50 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444526,https://bidplus.gem.gov.in/showbidDocument/9223256,"Clutch Releaser Brg,Lamp,Nozzle,R Hose,S Flex Cable,Cyl Kit,Lamp RH,Sensor Map,Tail Lamp,Seal,Belt,",650,,15-04-2026 8:49 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444525,https://bidplus.gem.gov.in/showbidDocument/9223255,"MCB Sixteen Amp with cover,Electric Board Five AMP,Electric Board Fifteen Amp,One x Half mm Copper",838,,15-04-2026 8:51 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444534,https://bidplus.gem.gov.in/showbidDocument/9223265,,2,,15-04-2026 9:07 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444141,https://bidplus.gem.gov.in/showbidDocument/9222803,LED Luminaire For Road And Street Lights Conforming To IS 10322 (Part 5/Section 3) (V3) (Under BIS,183,,15-04-2026 6:06 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444361,https://bidplus.gem.gov.in/showbidDocument/9223059,"Boxes ICE Small,Brushes cleaning Tank MK-1,SS Bucket 16 Ltr,Can Oil 4.5 Ltr,Cart Hand No 1 MK-2,Cab",20,,15-04-2026 7:02 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7444156,https://bidplus.gem.gov.in/showbidDocument/9222821,Hiring of Sanitation Service - Manpower Based Model - Sweeper; 5; All Areas; All Areas; Daily; 1,1,,15-04-2026 7:08 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7443228,https://bidplus.gem.gov.in/showbidDocument/9221800,,29,,15-04-2026 3:45 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7443454,https://bidplus.gem.gov.in/showbidDocument/9222046,,43,,15-04-2026 4:16 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7440940,https://bidplus.gem.gov.in/showbidDocument/9219198,,1,,15-04-2026 2:42 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7440829,https://bidplus.gem.gov.in/showbidDocument/9219073,Drinking Water Coolers (V4) ISI Marked To IS 1475,6,,15-04-2026 2:42 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7440679,https://bidplus.gem.gov.in/showbidDocument/9218909,,11,,15-04-2026 2:32 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7442556,https://bidplus.gem.gov.in/showbidDocument/9221037,"MS ISMA 50X50X5THK,MS ISMA 40X40X5THK,MS ISMA 25X25X3THK,ALE 50X50X5THK,ALE 40X40X5THK,ALE 25X25X3T",570,,15-04-2026 1:25 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7439870,https://bidplus.gem.gov.in/showbidDocument/9217966,"Monthly Basis Cab & Taxi Hiring Services - SUV; 4000 km; Local 24*7,Monthly Basis Cab & Taxi Hiring",2,,15-04-2026 1:24 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7435446,https://bidplus.gem.gov.in/showbidDocument/9212892,Customized AMC/CMC for Pre-owned Products - AMC of 2 weighbridges for 3 years at Vadodara LPG Termi,1,,15-04-2026 1:19 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7442419,https://bidplus.gem.gov.in/showbidDocument/9220888,Customized AMC/CMC for Pre-owned Products - Customized AMC/CMC for pre-owned products providing an,5,,15-04-2026 1:03 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7437809,https://bidplus.gem.gov.in/showbidDocument/9215656,Calibration Services - All the Calibration Parameters as per Manual recommended by OEM; All the Cal,1,,15-04-2026 1:12 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7411063,https://bidplus.gem.gov.in/showbidDocument/9185645,,1,,02-04-2026 2:26 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7409572,https://bidplus.gem.gov.in/showbidDocument/9183980,,619,,03-04-2026 1:00 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7430061,https://bidplus.gem.gov.in/showbidDocument/9206935,,10,,09-04-2026 4:57 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7426000,https://bidplus.gem.gov.in/showbidDocument/9202490,"Toner Cartridges / Ink Cartridges / Consumables for Printers,Toner Cartridges / Ink Cartridges / Co",5,,09-04-2026 11:19 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7434444,https://bidplus.gem.gov.in/showbidDocument/9211745,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Admin,3,,16-04-2026 9:54 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7434284,https://bidplus.gem.gov.in/showbidDocument/9211565,"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Admin,Manpower Outsourcin",3,,16-04-2026 9:49 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7433976,https://bidplus.gem.gov.in/showbidDocument/9211230,"Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Admin,Manpower Outsourcing",4,,16-04-2026 9:55 AM,25-04-2026 9:00 PM,Next
GEM/2026/B/7364101,https://bidplus.gem.gov.in/showbidDocument/9130913,Hiring of Consultants - Milestone/Deliverable Based - Selection of an Anchor Industry Partner (AIP),1,,16-03-2026 9:35 PM,25-04-2026 9:00 PM,Next
GEM/2026/B/7363761,https://bidplus.gem.gov.in/showbidDocument/9130503,Hiring of Consultants - Milestone/Deliverable Based - Upgradation of Industrial Training Institute,1,,16-03-2026 8:28 PM,25-04-2026 9:00 PM,Next
